Dose in ,Sclera:1_1266, 178.101, nanoGy 
Dose in ,Choroidea:1_2209, 0, picoGy 
Dose in ,Glaskörper:1_1490, 38.8176, nanoGy 
Dose in ,Choroidea:1_161, 0, picoGy 
Dose in ,Glaskörper:1_789, 23.3411, nanoGy 
Dose in ,Glaskörper:1_951, 0, picoGy 
Dose in ,Glaskörper:1_3287, 17.4204, nanoGy 
Dose in ,Glaskörper:1_2199, 0, picoGy 
Dose in ,Kammerwasser:1_389, 363.883, nanoGy 
Dose in ,Choroidea:1_1066, 227.751, nanoGy 
Dose in ,Glaskörper:1_3293, 111.986, nanoGy 
Dose in ,Choroidea:1_1072, 148.528, nanoGy 
Dose in ,Glaskörper:1_1484, 43.1902, nanoGy 
Dose in ,Choroidea:1_175, 267.017, nanoGy 
Dose in ,Applikator:1_108, 290.526, nanoGy 
Dose in ,Glaskörper:1_945, 159.105, nanoGy 
Dose in ,Sclera:1_286, 577.985, nanoGy 
Dose in ,Choroidea:1_613, 86.7829, nanoGy 
Dose in ,Choroidea:1_1714, 0, picoGy 
Dose in ,Glaskörper:1_5184, 14.4242, nanoGy 
Dose in ,Glaskörper:1_2833, 92.4594, nanoGy 
Dose in ,Netzhaut:1_158, 411.107, nanoGy 
Dose in ,Netzhaut:1_1595, 169.431, nanoGy 
Dose in ,Glaskörper:1_2774, 29.2759, nanoGy 
Dose in ,Kammerwasser:1_564, 66.765, nanoGy 
Dose in ,Glaskörper:1_4305, 67.5094, nanoGy 
Dose in ,Sclera:1_2437, 139.912, nanoGy 
Dose in ,Choroidea:1_1853, 305.037, nanoGy 
Dose in ,Netzhaut:1_2103, 387.32, nanoGy 
Dose in ,Applikator:1_929, 0, picoGy 
Dose in ,Sclera:1_319, 449.123, nanoGy 
Dose in ,Cornea:1_354, 0, picoGy 
Dose in ,Choroidea:1_954, 0, picoGy 
Dose in ,Glaskörper:1_164, 769.426, nanoGy 
Dose in ,Glaskörper:1_6512, 86.4689, nanoGy 
Dose in ,Glaskörper:1_602, 0, picoGy 
Dose in ,Glaskörper:1_6274, 42.7103, nanoGy 
Dose in ,Sclera:1_1880, 0, picoGy 
Dose in ,Sclera:1_1658, 30.6815, nanoGy 
Dose in ,Glaskörper:1_4463, 72.3283, nanoGy 
Dose in ,Sclera:1_2351, 86.1578, nanoGy 
Dose in ,Netzhaut:1_979, 0, picoGy 
Dose in ,Glaskörper:1_2012, 53.0261, nanoGy 
Dose in ,Kammerwasser:1_202, 217.067, nanoGy 
Dose in ,Netzhaut:1_1378, 102.852, nanoGy 
Dose in ,Glaskörper:1_4477, 72.1399, nanoGy 
Dose in ,Sclera:1_2345, 0, picoGy 
Dose in ,Glaskörper:1_3318, 75.2702, nanoGy 
Dose in ,Kammerwasser:1_216, 55.8977, nanoGy 
Dose in ,Glaskörper:1_2006, 40.633, nanoGy 
Dose in ,Glaskörper:1_5769, 66.5492, nanoGy 
Dose in ,Glaskörper:1_616, 98.3196, nanoGy 
Dose in ,Glaskörper:1_6260, 111.615, nanoGy 
Dose in ,Sclera:1_1894, 260.814, nanoGy 
Dose in ,Netzhaut:1_2117, 0, picoGy 
Dose in ,Sehnerv:1_59, 0, picoGy 
Dose in ,Choroidea:1_940, 291.735, nanoGy 
Dose in ,Cornea:1_340, 0, picoGy 
Dose in ,Glaskörper:1_1269, 0, picoGy 
Dose in ,Glaskörper:1_170, 114.708, nanoGy 
Dose in ,Choroidea:1_798, 56.7578, nanoGy 
Dose in ,Glaskörper:1_6506, 354.097, nanoGy 
Dose in ,Kammerwasser:1_570, 191.332, nanoGy 
Dose in ,Glaskörper:1_2760, 195.15, nanoGy 
Dose in ,Glaskörper:1_4311, 43.5334, nanoGy 
Dose in ,Choroidea:1_1847, 0, picoGy 
Dose in ,Sclera:1_2423, 206.488, nanoGy 
Dose in ,Sclera:1_1102, 573.935, nanoGy 
Dose in ,Applikator:1_915, 485.055, nanoGy 
Dose in ,Sclera:1_325, 1.20357, microGy
Dose in ,Cornea:1_368, 398.338, nanoGy 
Dose in ,Choroidea:1_968, 37.7053, nanoGy 
Dose in ,Sehnerv:1_71, 0, picoGy 
Dose in ,Glaskörper:1_89, 127.692, nanoGy 
Dose in ,Glaskörper:1_1241, 192.68, nanoGy 
Dose in ,Glaskörper:1_158, 155.216, nanoGy 
Dose in ,Glaskörper:1_5027, 36.2867, nanoGy 
Dose in ,Glaskörper:1_2748, 0, picoGy 
Dose in ,Kammerwasser:1_558, 304.003, nanoGy 
Dose in ,Glaskörper:1_3456, 0, picoGy 
Dose in ,Glaskörper:1_2990, 346.814, nanoGy 
Dose in ,Netzhaut:1_1436, 73.1771, nanoGy 
Dose in ,Glaskörper:1_4339, 373.809, picoGy 
Dose in ,Netzhaut:1_1350, 0, picoGy 
Dose in ,Glaskörper:1_3330, 95.135, nanoGy 
Dose in ,Glaskörper:1_5999, 116.919, nanoGy 
Dose in ,Netzhaut:1_945, 211.353, nanoGy 
Dose in ,Glaskörper:1_5741, 0, picoGy 
Dose in ,Glaskörper:1_6248, 35.9739, nanoGy 
Dose in ,Glaskörper:1_1527, 60.2438, nanoGy 
Dose in ,Sclera:1_443, 322.228, nanoGy 
Dose in ,Sclera:1_1664, 164.953, nanoGy 
Dose in ,Glaskörper:1_1533, 87.0057, nanoGy 
Dose in ,Sclera:1_457, 0, picoGy 
Dose in ,Sclera:1_1670, 227.829, nanoGy 
Dose in ,Sclera:1_2379, 381.238, nanoGy 
Dose in ,Netzhaut:1_789, 455.785, nanoGy 
Dose in ,Netzhaut:1_1344, 0, picoGy 
Dose in ,Glaskörper:1_3324, 69.3716, nanoGy 
Dose in ,Netzhaut:1_951, 41.0728, nanoGy 
Dose in ,Glaskörper:1_5755, 0, picoGy 
Dose in ,Glaskörper:1_5033, 91.0544, nanoGy 
Dose in ,Glaskörper:1_3442, 67.5584, nanoGy 
Dose in ,Glaskörper:1_2984, 51.7498, nanoGy 
Dose in ,Netzhaut:1_1422, 90.1792, nanoGy 
Dose in ,Sclera:1_1116, 100.197, nanoGy 
Dose in ,Sclera:1_331, 0, picoGy 
Dose in ,Applikator:1_901, 14.4863, nanoGy 
Dose in ,Sehnerv:1_65, 0, picoGy 
Dose in ,Glaskörper:1_1255, 0, picoGy 
Dose in ,Choroidea:1_2341, 152.395, nanoGy 
Dose in ,Applikator:1_732, 54.1698, nanoGy 
Dose in ,Glaskörper:1_76, 76.6453, nanoGy 
Dose in ,Cornea:1_397, 203.666, nanoGy 
Dose in ,Choroidea:1_997, 165.526, nanoGy 
Dose in ,Linse:1_118, 114.568, nanoGy 
Dose in ,Choroidea:1_1890, 0, picoGy 
Dose in ,Choroidea:1_1648, 238.951, nanoGy 
Dose in ,Netzhaut:1_762, 153.679, nanoGy 
Dose in ,Sclera:1_2392, 264.505, nanoGy 
Dose in ,Glaskörper:1_5966, 169.756, nanoGy 
Dose in ,Glaskörper:1_819, 101.164, nanoGy 
Dose in ,Sclera:1_1843, 103.844, nanoGy 
Dose in ,Sclera:1_1857, 100.334, nanoGy 
Dose in ,Netzhaut:1_776, 129.191, nanoGy 
Dose in ,Sclera:1_2386, 304.108, nanoGy 
Dose in ,Glaskörper:1_6, 49.5056, nanoGy 
Dose in ,Glaskörper:1_5972, 77.9196, nanoGy 
Dose in ,Choroidea:1_1884, 192.466, nanoGy 
Dose in ,Choroidea:1_2355, 37.2406, nanoGy 
Dose in ,Applikator:1_726, 144.893, nanoGy 
Dose in ,Glaskörper:1_62, 88.9762, nanoGy 
Dose in ,Choroidea:1_983, 162.026, nanoGy 
Dose in ,Cornea:1_383, 0, picoGy 
Dose in ,Glaskörper:1_3495, 0, picoGy 
Dose in ,Linse:1_124, 43.3468, nanoGy 
Dose in ,Glaskörper:1_2953, 46.8902, nanoGy 
Dose in ,Choroidea:1_1674, 208.293, nanoGy 
Dose in ,Glaskörper:1_1282, 92.4661, nanoGy 
Dose in ,Choroidea:1_773, 372.274, nanoGy 
Dose in ,Sclera:1_480, 0, picoGy 
Dose in ,Glaskörper:1_825, 131.655, nanoGy 
Dose in ,Choroidea:1_1112, 18.6907, nanoGy 
Dose in ,Netzhaut:1_986, 38.3043, nanoGy 
Dose in ,Glaskörper:1_5782, 34.3339, nanoGy 
Dose in ,Netzhaut:1_1393, 65.5489, nanoGy 
Dose in ,Choroidea:1_1106, 0, picoGy 
Dose in ,Netzhaut:1_992, 596.336, nanoGy 
Dose in ,Glaskörper:1_5796, 106.009, nanoGy 
Dose in ,Netzhaut:1_1387, 0, picoGy 
Dose in ,Glaskörper:1_4488, 55.0185, nanoGy 
Dose in ,Sclera:1_494, 0, picoGy 
Dose in ,Glaskörper:1_831, 112.377, nanoGy 
Dose in ,Glaskörper:1_1296, 9.39859, nanoGy 
Dose in ,Choroidea:1_767, 0, picoGy 
Dose in ,Linse:1_130, 120.612, nanoGy 
Dose in ,Glaskörper:1_3481, 46.7264, nanoGy 
Dose in ,Glaskörper:1_2947, 0, picoGy 
Dose in ,Choroidea:1_1660, 133.984, nanoGy 
Dose in ,Glaskörper:1_2210, 88.818, nanoGy 
Dose in ,Linse:1_62, 139.602, nanoGy 
Dose in ,Sehnerv:1_597, 0, picoGy 
Dose in ,Sclera:1_2153, 340.499, nanoGy 
Dose in ,Glaskörper:1_4661, 219.254, nanoGy 
Dose in ,Glaskörper:1_1719, 213.588, nanoGy 
Dose in ,Applikator:1_295, 398.833, nanoGy 
Dose in ,Glaskörper:1_6076, 64.2175, nanoGy 
Dose in ,Glaskörper:1_400, 6.68454, nanoGy 
Dose in ,Glaskörper:1_366, 21.8578, nanoGy 
Dose in ,Choroidea:1_2180, 381.964, nanoGy 
Dose in ,Cornea:1_156, 137.492, nanoGy 
Dose in ,Sclera:1_2635, 287.678, nanoGy 
Dose in ,Glaskörper:1_4107, 0, picoGy 
Dose in ,Netzhaut:1_1608, 135.744, nanoGy 
Dose in ,Glaskörper:1_3668, 10.5071, nanoGy 
Dose in ,Choroidea:1_1489, 74.6766, nanoGy 
Dose in ,Glaskörper:1_2576, 131.222, nanoGy 
Dose in ,Glaskörper:1_5219, 0, picoGy 
Dose in ,Sclera:1_2621, 160.19, nanoGy 
Dose in ,Glaskörper:1_4113, 101.269, nanoGy 
Dose in ,Glaskörper:1_2562, 31.5116, nanoGy 
Dose in ,Glaskörper:1_372, 116.656, nanoGy 
Dose in ,Choroidea:1_2194, 66.3106, nanoGy 
Dose in ,Cornea:1_142, 184.061, nanoGy 
Dose in ,Sclera:1_1328, 148.803, nanoGy 
Dose in ,Sclera:1_669, 153.325, nanoGy 
Dose in ,Glaskörper:1_6062, 94.6913, nanoGy 
Dose in ,Applikator:1_281, 330.891, nanoGy 
Dose in ,Glaskörper:1_414, 66.3688, nanoGy 
Dose in ,Glaskörper:1_2204, 35.8695, nanoGy 
Dose in ,Linse:1_76, 131.448, nanoGy 
Dose in ,Sehnerv:1_583, 0, picoGy 
Dose in ,Sclera:1_2147, 0, picoGy 
Dose in ,Glaskörper:1_4675, 0, picoGy 
Dose in ,Sclera:1_1466, 283.732, nanoGy 
Dose in ,Sclera:1_641, 156.557, nanoGy 
Dose in ,Glaskörper:1_1725, 70.666, nanoGy 
Dose in ,Sclera:1_899, 80.6756, nanoGy 
Dose in ,Glaskörper:1_5543, 229.301, nanoGy 
Dose in ,Glaskörper:1_4885, 19.4611, nanoGy 
Dose in ,Glaskörper:1_3132, 7.53676, nanoGy 
Dose in ,Netzhaut:1_1152, 237.041, nanoGy 
Dose in ,Netzhaut:1_1634, 140.448, nanoGy 
Dose in ,Sclera:1_2609, 104.212, nanoGy 
Dose in ,Glaskörper:1_3654, 28.8133, nanoGy 
Dose in ,Glaskörper:1_5225, 236.705, nanoGy 
Dose in ,Glaskörper:1_1043, 61.321, nanoGy 
Dose in ,Sclera:1_127, 697.292, nanoGy 
Dose in ,Sclera:1_1300, 138.027, nanoGy 
Dose in ,Glaskörper:1_1057, 62.8812, nanoGy 
Dose in ,Sclera:1_133, 0, picoGy 
Dose in ,Sclera:1_1314, 0, picoGy 
Dose in ,Netzhaut:1_1620, 0, picoGy 
Dose in ,Glaskörper:1_3640, 89.252, nanoGy 
Dose in ,Glaskörper:1_5231, 126.194, nanoGy 
Dose in ,Glaskörper:1_3898, 520.229, nanoGy 
Dose in ,Glaskörper:1_5557, 161.017, nanoGy 
Dose in ,Glaskörper:1_4891, 152.246, nanoGy 
Dose in ,Glaskörper:1_2238, 31.9459, nanoGy 
Dose in ,Glaskörper:1_3126, 71.4808, nanoGy 
Dose in ,Glaskörper:1_4649, 0, picoGy 
Dose in ,Netzhaut:1_1146, 51.4281, nanoGy 
Dose in ,Sclera:1_1472, 0, picoGy 
Dose in ,Sclera:1_655, 104.68, nanoGy 
Dose in ,Glaskörper:1_1731, 91.956, nanoGy 
Dose in ,Glaskörper:1_428, 136.609, nanoGy 
Dose in ,Applikator:1_256, 58.6878, nanoGy 
Dose in ,Sclera:1_866, 27.0787, nanoGy 
Dose in ,Sclera:1_1499, 1.45556, microGy
Dose in ,Glaskörper:1_1902, 105.748, nanoGy 
Dose in ,Sehnerv:1_554, 31.517, nanoGy 
Dose in ,Sclera:1_2190, 150.635, nanoGy 
Dose in ,Netzhaut:1_560, 94.91, nanoGy 
Dose in ,Netzhaut:1_1813, 247.66, nanoGy 
Dose in ,Glaskörper:1_3873, 100.267, nanoGy 
Dose in ,Netzhaut:1_206, 65.5263, nanoGy 
Dose in ,Sehnerv:1_232, 0, picoGy 
Dose in ,Cornea:1_195, 246.125, nanoGy 
Dose in ,Applikator:1_530, 200.017, nanoGy 
Dose in ,Choroidea:1_2143, 75.9244, nanoGy 
Dose in ,Cornea:1_181, 763.266, nanoGy 
Dose in ,Choroidea:1_559, 176.96, nanoGy 
Dose in ,Applikator:1_524, 85.3255, nanoGy 
Dose in ,Choroidea:1_2157, 402.019, nanoGy 
Dose in ,Netzhaut:1_1807, 295.849, nanoGy 
Dose in ,Glaskörper:1_3867, 34.5843, nanoGy 
Dose in ,Netzhaut:1_212, 168.634, nanoGy 
Dose in ,Sehnerv:1_226, 0, picoGy 
Dose in ,Sehnerv:1_540, 0, picoGy 
Dose in ,Sclera:1_2184, 298.811, nanoGy 
Dose in ,Netzhaut:1_574, 0, picoGy 
Dose in ,Choroidea:1_1338, 0, picoGy 
Dose in ,Sclera:1_872, 0, picoGy 
Dose in ,Applikator:1_242, 534.451, nanoGy 
Dose in ,Glaskörper:1_1916, 86.4173, nanoGy 
Dose in ,Sehnerv:1_568, 0, picoGy 
Dose in ,Netzhaut:1_1191, 92.2108, nanoGy 
Dose in ,Glaskörper:1_5580, 39.0067, nanoGy 
Dose in ,Glaskörper:1_4846, 16.2982, nanoGy 
Dose in ,Choroidea:1_1310, 125.593, nanoGy 
Dose in ,Glaskörper:1_6089, 204.974, nanoGy 
Dose in ,Choroidea:1_217, 365.399, nanoGy 
Dose in ,Sclera:1_682, 359.558, nanoGy 
Dose in ,Glaskörper:1_399, 94.6939, nanoGy 
Dose in ,Choroidea:1_571, 26.2308, nanoGy 
Dose in ,Glaskörper:1_1080, 36.42, nanoGy 
Dose in ,Glaskörper:1_2589, 92.396, nanoGy 
Dose in ,Choroidea:1_1476, 592.791, nanoGy 
Dose in ,Glaskörper:1_3697, 75.1719, nanoGy 
Dose in ,Choroidea:1_1462, 175.693, nanoGy 
Dose in ,Glaskörper:1_3683, 58.8936, nanoGy 
Dose in ,Choroidea:1_565, 232.752, nanoGy 
Dose in ,Applikator:1_518, 170.469, nanoGy 
Dose in ,Glaskörper:1_1094, 220.542, nanoGy 
Dose in ,Choroidea:1_203, 152.87, nanoGy 
Dose in ,Sclera:1_696, 349.845, nanoGy 
Dose in ,Netzhaut:1_548, 577.85, nanoGy 
Dose in ,Netzhaut:1_1185, 38.4061, nanoGy 
Dose in ,Glaskörper:1_5594, 58.7995, nanoGy 
Dose in ,Linse:1_89, 83.1861, nanoGy 
Dose in ,Glaskörper:1_4852, 0, picoGy 
Dose in ,Choroidea:1_1304, 236.706, nanoGy 
Dose in ,Glaskörper:1_1095, 186.863, nanoGy 
Dose in ,Choroidea:1_564, 1.6314, microGy
Dose in ,Applikator:1_519, 246.966, nanoGy 
Dose in ,Glaskörper:1_3682, 80.9087, nanoGy 
Dose in ,Choroidea:1_1463, 0, picoGy 
Dose in ,Choroidea:1_1305, 283.037, nanoGy 
Dose in ,Glaskörper:1_4853, 284.106, nanoGy 
Dose in ,Linse:1_88, 104.624, nanoGy 
Dose in ,Glaskörper:1_5595, 42.4704, nanoGy 
Dose in ,Netzhaut:1_549, 0, picoGy 
Dose in ,Netzhaut:1_1184, 157.9, nanoGy 
Dose in ,Sclera:1_697, 582.709, nanoGy 
Dose in ,Choroidea:1_202, 219.054, nanoGy 
Dose in ,Sclera:1_683, 123.976, nanoGy 
Dose in ,Glaskörper:1_6088, 188.774, nanoGy 
Dose in ,Choroidea:1_216, 0, picoGy 
Dose in ,Choroidea:1_1311, 144.41, nanoGy 
Dose in ,Glaskörper:1_4847, 196.219, nanoGy 
Dose in ,Glaskörper:1_5581, 127.625, nanoGy 
Dose in ,Netzhaut:1_1190, 135.583, nanoGy 
Dose in ,Sehnerv:1_569, 0, picoGy 
Dose in ,Glaskörper:1_3696, 105.359, nanoGy 
Dose in ,Glaskörper:1_2588, 94.2651, nanoGy 
Dose in ,Choroidea:1_1477, 105.195, nanoGy 
Dose in ,Glaskörper:1_1081, 127.938, nanoGy 
Dose in ,Choroidea:1_570, 176.148, nanoGy 
Dose in ,Glaskörper:1_398, 335.862, nanoGy 
Dose in ,Sehnerv:1_227, 0, picoGy 
Dose in ,Netzhaut:1_213, 330.965, nanoGy 
Dose in ,Glaskörper:1_3866, 111.505, nanoGy 
Dose in ,Netzhaut:1_1806, 263.038, nanoGy 
Dose in ,Choroidea:1_2156, 284.136, nanoGy 
Dose in ,Choroidea:1_558, 160.32, nanoGy 
Dose in ,Applikator:1_525, 170.495, nanoGy 
Dose in ,Cornea:1_180, 363.07, nanoGy 
Dose in ,Glaskörper:1_1917, 21.9745, nanoGy 
Dose in ,Sclera:1_873, 155.202, nanoGy 
Dose in ,Applikator:1_243, 0, picoGy 
Dose in ,Choroidea:1_1339, 45.8991, nanoGy 
Dose in ,Netzhaut:1_575, 218.857, nanoGy 
Dose in ,Sclera:1_2185, 288.72, nanoGy 
Dose in ,Sehnerv:1_541, 0, picoGy 
Dose in ,Netzhaut:1_561, 260.684, nanoGy 
Dose in ,Sclera:1_2191, 621.958, nanoGy 
Dose in ,Sehnerv:1_555, 0, picoGy 
Dose in ,Glaskörper:1_1903, 154.844, nanoGy 
Dose in ,Sclera:1_1498, 527.86, nanoGy 
Dose in ,Applikator:1_257, 441.749, nanoGy 
Dose in ,Sclera:1_867, 0, picoGy 
Dose in ,Choroidea:1_2142, 29.0407, nanoGy 
Dose in ,Applikator:1_531, 39.3988, nanoGy 
Dose in ,Cornea:1_194, 109.882, nanoGy 
Dose in ,Sehnerv:1_233, 0, picoGy 
Dose in ,Netzhaut:1_207, 385.378, nanoGy 
Dose in ,Glaskörper:1_3872, 18.8022, nanoGy 
Dose in ,Netzhaut:1_1812, 78.7431, nanoGy 
Dose in ,Glaskörper:1_3899, 198.709, nanoGy 
Dose in ,Glaskörper:1_5230, 153.875, nanoGy 
Dose in ,Glaskörper:1_3641, 128.97, nanoGy 
Dose in ,Netzhaut:1_1621, 128.187, nanoGy 
Dose in ,Sclera:1_1315, 53.1964, nanoGy 
Dose in ,Sclera:1_132, 284.074, nanoGy 
Dose in ,Glaskörper:1_1056, 120.094, nanoGy 
Dose in ,Glaskörper:1_429, 246.023, nanoGy 
Dose in ,Glaskörper:1_1730, 0, picoGy 
Dose in ,Sclera:1_654, 9.30906, nanoGy 
Dose in ,Sclera:1_1473, 227.215, nanoGy 
Dose in ,Netzhaut:1_1147, 67.1209, nanoGy 
Dose in ,Glaskörper:1_4648, 0, picoGy 
Dose in ,Glaskörper:1_3127, 22.4692, nanoGy 
Dose in ,Glaskörper:1_2239, 43.3559, nanoGy 
Dose in ,Glaskörper:1_4890, 0, picoGy 
Dose in ,Glaskörper:1_5556, 162.631, nanoGy 
Dose in ,Netzhaut:1_1153, 193.622, nanoGy 
Dose in ,Glaskörper:1_3133, 4.15912, nanoGy 
Dose in ,Glaskörper:1_4884, 79.5179, nanoGy 
Dose in ,Glaskörper:1_5542, 1.11932, microGy
Dose in ,Sclera:1_898, 241.078, nanoGy 
Dose in ,Glaskörper:1_1724, 5.01859, nanoGy 
Dose in ,Sclera:1_640, 280.343, nanoGy 
Dose in ,Sclera:1_1467, 921.071, nanoGy 
Dose in ,Sclera:1_1301, 170.976, nanoGy 
Dose in ,Sclera:1_126, 480.766, nanoGy 
Dose in ,Glaskörper:1_1042, 299.468, nanoGy 
Dose in ,Glaskörper:1_5224, 77.5331, nanoGy 
Dose in ,Glaskörper:1_3655, 4.96184, nanoGy 
Dose in ,Sclera:1_2608, 454.289, nanoGy 
Dose in ,Netzhaut:1_1635, 106.841, nanoGy 
Dose in ,Sclera:1_1329, 129.292, nanoGy 
Dose in ,Cornea:1_143, 471.735, nanoGy 
Dose in ,Choroidea:1_2195, 204.054, nanoGy 
Dose in ,Glaskörper:1_373, 200.445, nanoGy 
Dose in ,Glaskörper:1_2563, 95.5134, nanoGy 
Dose in ,Glaskörper:1_4112, 136.366, nanoGy 
Dose in ,Sclera:1_2620, 131.886, nanoGy 
Dose in ,Glaskörper:1_4674, 0, picoGy 
Dose in ,Sclera:1_2146, 418.159, nanoGy 
Dose in ,Sehnerv:1_582, 0, picoGy 
Dose in ,Linse:1_77, 157.061, nanoGy 
Dose in ,Glaskörper:1_2205, 31.2622, nanoGy 
Dose in ,Glaskörper:1_415, 166.487, nanoGy 
Dose in ,Applikator:1_280, 264.936, nanoGy 
Dose in ,Glaskörper:1_6063, 46.3623, nanoGy 
Dose in ,Sclera:1_668, 0, picoGy 
Dose in ,Glaskörper:1_401, 42.0438, nanoGy 
Dose in ,Glaskörper:1_6077, 82.543, nanoGy 
Dose in ,Applikator:1_294, 273.444, nanoGy 
Dose in ,Glaskörper:1_1718, 8.39787, nanoGy 
Dose in ,Glaskörper:1_4660, 62.1696, nanoGy 
Dose in ,Sclera:1_2152, 106.748, nanoGy 
Dose in ,Sehnerv:1_596, 0, picoGy 
Dose in ,Linse:1_63, 105.758, nanoGy 
Dose in ,Glaskörper:1_2211, 134.158, nanoGy 
Dose in ,Glaskörper:1_5218, 207.661, nanoGy 
Dose in ,Choroidea:1_1488, 305.168, nanoGy 
Dose in ,Glaskörper:1_2577, 125.587, nanoGy 
Dose in ,Glaskörper:1_3669, 160.844, nanoGy 
Dose in ,Netzhaut:1_1609, 0, picoGy 
Dose in ,Glaskörper:1_4106, 0, picoGy 
Dose in ,Sclera:1_2634, 42.1246, nanoGy 
Dose in ,Cornea:1_157, 323.919, nanoGy 
Dose in ,Choroidea:1_2181, 0, picoGy 
Dose in ,Glaskörper:1_367, 86.0213, nanoGy 
Dose in ,Glaskörper:1_830, 42.9306, nanoGy 
Dose in ,Sclera:1_495, 210.617, nanoGy 
Dose in ,Glaskörper:1_4489, 268.084, nanoGy 
Dose in ,Netzhaut:1_1386, 0, picoGy 
Dose in ,Glaskörper:1_5797, 95.1471, nanoGy 
Dose in ,Netzhaut:1_993, 44.8253, nanoGy 
Dose in ,Choroidea:1_1107, 149.606, nanoGy 
Dose in ,Choroidea:1_1661, 137.602, nanoGy 
Dose in ,Glaskörper:1_2946, 84.4537, nanoGy 
Dose in ,Glaskörper:1_3480, 25.1825, nanoGy 
Dose in ,Linse:1_131, 0, picoGy 
Dose in ,Choroidea:1_766, 290.011, nanoGy 
Dose in ,Glaskörper:1_1297, 39.8973, nanoGy 
Dose in ,Choroidea:1_772, 108.128, nanoGy 
Dose in ,Glaskörper:1_1283, 46.4744, nanoGy 
Dose in ,Choroidea:1_1675, 0, picoGy 
Dose in ,Glaskörper:1_2952, 67.777, nanoGy 
Dose in ,Linse:1_125, 69.7255, nanoGy 
Dose in ,Glaskörper:1_3494, 58.8882, nanoGy 
Dose in ,Netzhaut:1_1392, 82.8033, nanoGy 
Dose in ,Glaskörper:1_5783, 57.1495, nanoGy 
Dose in ,Netzhaut:1_987, 0, picoGy 
Dose in ,Choroidea:1_1113, 0, picoGy 
Dose in ,Glaskörper:1_824, 185.591, nanoGy 
Dose in ,Sclera:1_481, 132.862, nanoGy 
Dose in ,Glaskörper:1_5973, 59.384, nanoGy 
Dose in ,Glaskörper:1_7, 201.394, nanoGy 
Dose in ,Sclera:1_2387, 58.9693, nanoGy 
Dose in ,Netzhaut:1_777, 397.001, nanoGy 
Dose in ,Sclera:1_1856, 224.404, nanoGy 
Dose in ,Cornea:1_382, 0, picoGy 
Dose in ,Choroidea:1_982, 91.1409, nanoGy 
Dose in ,Glaskörper:1_63, 161.316, nanoGy 
Dose in ,Applikator:1_727, 531.908, nanoGy 
Dose in ,Choroidea:1_2354, 145.828, nanoGy 
Dose in ,Choroidea:1_1885, 350.167, nanoGy 
Dose in ,Choroidea:1_1649, 80.3389, nanoGy 
Dose in ,Choroidea:1_1891, 90.8365, nanoGy 
Dose in ,Linse:1_119, 35.6018, nanoGy 
Dose in ,Choroidea:1_996, 302.23, nanoGy 
Dose in ,Cornea:1_396, 230.654, nanoGy 
Dose in ,Glaskörper:1_77, 140.947, nanoGy 
Dose in ,Applikator:1_733, 376.618, nanoGy 
Dose in ,Choroidea:1_2340, 634.857, nanoGy 
Dose in ,Sclera:1_1842, 221.852, nanoGy 
Dose in ,Glaskörper:1_818, 184.856, nanoGy 
Dose in ,Glaskörper:1_5967, 62.7836, nanoGy 
Dose in ,Sclera:1_2393, 389.407, nanoGy 
Dose in ,Netzhaut:1_763, 151.652, nanoGy 
Dose in ,Glaskörper:1_5754, 31.1073, nanoGy 
Dose in ,Netzhaut:1_950, 0, picoGy 
Dose in ,Glaskörper:1_3325, 0, picoGy 
Dose in ,Netzhaut:1_788, 0, picoGy 
Dose in ,Netzhaut:1_1345, 97.1782, nanoGy 
Dose in ,Sclera:1_2378, 0, picoGy 
Dose in ,Sclera:1_1671, 320.504, nanoGy 
Dose in ,Sclera:1_456, 0, picoGy 
Dose in ,Glaskörper:1_1532, 125.16, nanoGy 
Dose in ,Glaskörper:1_1254, 0, picoGy 
Dose in ,Sehnerv:1_64, 0, picoGy 
Dose in ,Sclera:1_330, 630.5, nanoGy 
Dose in ,Applikator:1_900, 227.704, nanoGy 
Dose in ,Sclera:1_1117, 53.6471, nanoGy 
Dose in ,Netzhaut:1_1423, 213.917, nanoGy 
Dose in ,Glaskörper:1_2985, 50.5322, nanoGy 
Dose in ,Glaskörper:1_3443, 193.913, nanoGy 
Dose in ,Glaskörper:1_5032, 199.889, nanoGy 
Dose in ,Glaskörper:1_4338, 63.0973, nanoGy 
Dose in ,Netzhaut:1_1437, 0, picoGy 
Dose in ,Glaskörper:1_2991, 204.498, nanoGy 
Dose in ,Glaskörper:1_3457, 35.3106, nanoGy 
Dose in ,Glaskörper:1_2749, 0, picoGy 
Dose in ,Kammerwasser:1_559, 289.994, nanoGy 
Dose in ,Glaskörper:1_5026, 1.96328, nanoGy 
Dose in ,Glaskörper:1_159, 154.994, nanoGy 
Dose in ,Glaskörper:1_1240, 197.085, nanoGy 
Dose in ,Glaskörper:1_88, 103.523, nanoGy 
Dose in ,Sehnerv:1_70, 0, picoGy 
Dose in ,Applikator:1_914, 0, picoGy 
Dose in ,Choroidea:1_969, 0, picoGy 
Dose in ,Cornea:1_369, 248.495, nanoGy 
Dose in ,Sclera:1_324, 0, picoGy 
Dose in ,Sclera:1_1103, 209.99, nanoGy 
Dose in ,Sclera:1_1665, 126.245, nanoGy 
Dose in ,Sclera:1_442, 391.465, nanoGy 
